NombrePlan,ModalidadAtencion,TipoPlan,AmplitudCobertura,PrestacionesRestringidas,Comercializacion,ValorPlan,Copago,Modalidad,GrupoSocioeconomico,GrupoObjetivo,RegionComercializacion,FechaInicioPlan,FechaInfo,CodigoPlan,CodigoIsapre,LineaPlan,Ajusteanual,ModalidadTope,Topeanual,Cobertura parto,Cobertura honorarios,Cobertura copago,ValorCLP,%Cotizacion,Sobre7,ano_mes_inicio,tipo_valor
ALPHA_BEA104,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.49,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA104,76,ALEMANA,0.0,UF,2680.0,True,True,False,92130.00000000001,0.09213000000000002,True,2016-05,económico
ALPHA_BEA105,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.48,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA105,76,ALEMANA,0.0,UF,2700.0,True,True,False,91760.0,0.09176,True,2016-05,económico
ALPHA_BEA106,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.76,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA106,76,ALEMANA,0.0,UF,2930.0,True,True,False,102119.99999999999,0.10211999999999999,True,2016-05,caro
ALPHA_BEA107,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,3.0,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA107,76,ALEMANA,0.0,UF,3150.0,True,True,False,111000.0,0.111,True,2016-05,caro
ALPHA_BEA108,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,3.31,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA108,76,ALEMANA,0.0,UF,3380.0,True,True,False,122470.0,0.12247,True,2016-05,caro
ALPHA_BEA109,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,3.38,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA109,76,ALEMANA,0.0,UF,3600.0,True,True,False,125060.0,0.12506,True,2016-05,caro
ALPHA_BEA110,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,3.64,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA110,76,ALEMANA,0.0,UF,3830.0,True,True,False,134680.0,0.13468,True,2016-05,caro
ALPHA_BEA111,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,3.9,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA111,76,ALEMANA,0.0,UF,4050.0,True,True,False,144300.0,0.1443,True,2016-05,caro
ALPHA_BEA112,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,4.72,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA112,76,ALEMANA,0.0,UF,4280.0,True,True,False,174640.0,0.17464,True,2016-05,caro
ALPHA_BEA200,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.13,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA200,76,SANTA MARIA,0.0,UF,1580.0,True,True,False,41809.99999999999,0.04180999999999999,False,2016-05,económico
ALPHA_BEA201,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.19,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA201,76,SANTA MARIA,0.0,UF,1640.0,True,True,False,44030.0,0.04403,False,2016-05,económico
ALPHA_BEA202,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.25,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA202,76,SANTA MARIA,0.0,UF,1710.0,True,True,False,46250.0,0.04625,False,2016-05,económico
ALPHA_BEA203,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.33,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA203,76,SANTA MARIA,0.0,UF,1760.0,True,True,False,49210.0,0.04921,False,2016-05,económico
ALPHA_BEA204,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.38,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA204,76,SANTA MARIA,0.0,UF,1800.0,True,True,False,51059.99999999999,0.051059999999999994,False,2016-05,económico
ALPHA_BEA205,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.48,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA205,76,SANTA MARIA,0.0,UF,1890.0,True,True,False,54760.0,0.05476,False,2016-05,económico
ALPHA_BEA206,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.6,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA206,76,SANTA MARIA,0.0,UF,1910.0,True,True,False,59200.0,0.0592,False,2016-05,económico
ALPHA_BEA207,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.65,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA207,76,SANTA MARIA,0.0,UF,1940.0,True,True,False,61050.0,0.06105,False,2016-05,económico
ALPHA_BEA208,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.65,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA208,76,SANTA MARIA,0.0,UF,2030.0,True,True,False,61050.0,0.06105,False,2016-05,económico
ALPHA_BEA209,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.71,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA209,76,SANTA MARIA,0.0,UF,2070.0,True,True,False,63270.0,0.06327,False,2016-05,económico
ALPHA_BEA210,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.81,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA210,76,SANTA MARIA,0.0,UF,2120.0,True,True,False,66970.0,0.06697,False,2016-05,económico
ALPHA_BEA300,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.83,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA300,76,DAVILA,0.0,UF,1350.0,True,True,False,30710.0,0.03071,False,2016-05,económico
ALPHA_BEA301,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.92,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA301,76,DAVILA,0.0,UF,1400.0,True,True,False,34040.0,0.03404,False,2016-05,económico
ALPHA_BEA302,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.96,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA302,76,DAVILA,0.0,UF,1440.0,True,True,False,35520.0,0.03552,False,2016-05,económico
ALPHA_BEA303,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.0,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA303,76,DAVILA,0.0,UF,1520.0,True,True,False,37000.0,0.037,False,2016-05,económico
ALPHA_BEA400,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.64,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA400,76,PROFESOR,0.0,UF,1220.0,True,True,False,23680.0,0.02368,False,2016-05,económico
ALPHA_BEA401,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.71,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA401,76,PROFESOR,0.0,UF,1280.0,True,True,False,26270.0,0.02627,False,2016-05,económico
ALPHA_BEA402,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.72,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA402,76,PROFESOR,0.0,UF,1310.0,True,True,False,26640.0,0.02664,False,2016-05,económico
ALPHA_BEA403,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.77,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA403,76,PROFESOR,0.0,UF,1330.0,True,True,False,28490.0,0.02849,False,2016-05,económico
ALPHA_BEA700,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,En Comercialización,0.0,NO TIENE COPAGO FIJO,7%,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2016-05-01,2020-07-01,BEA700,76,PROFESOR,0.0,UF,1220.0,True,True,False,0.0,0.0,False,2016-05,económico
ALPHA_BEAPLUS100,PRESTADOR PREFERENTE,GRUPAL,COBERTURA REDUCIDA PARA PARTO,12345,No Comercializado,5.0,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2018-11-01,2020-07-01,BEAPLUS100,76,ALEMANA,0.0,UF,6500.0,True,False,False,185000.0,0.185,True,2018-11,caro
ALPHA_BEAPLUS200,PRESTADOR PREFERENTE,GRUPAL,COBERTURA REDUCIDA PARA PARTO,12345,No Comercializado,3.9,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2018-11-01,2020-07-01,BEAPLUS200,76,SANTA MARIA,0.0,UF,5000.0,True,False,False,144300.0,0.1443,True,2018-11,caro
ALPHA_BEAPLUS300,PRESTADOR PREFERENTE,GRUPAL,COBERTURA REDUCIDA PARA PARTO,12345,No Comercializado,2.8,NO TIENE COPAGO FIJO,UF,SIN GRUPO,TRABAJADORES DE UNA MISMA EMPRESA,Nacional,2018-11-01,2020-07-01,BEAPLUS300,76,DAVILA,0.0,UF,3800.0,True,False,False,103600.0,0.1036,True,2018-11,caro
ALPHA_BER100,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.29,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER100,76,ALEMANA,0.0,UF,2250.0,True,True,False,84730.0,0.08473,True,2016-05,económico
ALPHA_BER101,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.35,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER101,76,ALEMANA,0.0,UF,2390.0,True,True,False,86950.0,0.08695,True,2016-05,económico
ALPHA_BER102,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.61,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER102,76,ALEMANA,0.0,UF,2520.0,True,True,False,96570.0,0.09657,True,2016-05,caro
ALPHA_BER103,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.67,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER103,76,ALEMANA,0.0,UF,2660.0,True,True,False,98790.0,0.09879,True,2016-05,caro
ALPHA_BER104,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.91,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER104,76,ALEMANA,0.0,UF,2680.0,True,True,False,107670.0,0.10767,True,2016-05,caro
ALPHA_BER105,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.94,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER105,76,ALEMANA,0.0,UF,2700.0,True,True,False,108780.0,0.10878,True,2016-05,caro
ALPHA_BER106,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,3.0,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER106,76,ALEMANA,0.0,UF,2930.0,True,True,False,111000.0,0.111,True,2016-05,caro
ALPHA_BER200,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.27,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER200,76,SANTA MARIA,0.0,UF,1580.0,True,True,False,46990.0,0.04699,False,2016-05,económico
ALPHA_BER201,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.34,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER201,76,SANTA MARIA,0.0,UF,1640.0,True,True,False,49580.0,0.04958,False,2016-05,económico
ALPHA_BER202,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.53,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER202,76,SANTA MARIA,0.0,UF,1710.0,True,True,False,56610.0,0.05661,False,2016-05,económico
ALPHA_BER203,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.58,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER203,76,SANTA MARIA,0.0,UF,1760.0,True,True,False,58460.0,0.05846,False,2016-05,económico
ALPHA_BER204,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.66,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER204,76,SANTA MARIA,0.0,UF,1890.0,True,True,False,61420.0,0.06142,False,2016-05,económico
ALPHA_BER205,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.89,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER205,76,SANTA MARIA,0.0,UF,1910.0,True,True,False,69930.0,0.06993,False,2016-05,económico
ALPHA_BER206,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.9,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER206,76,SANTA MARIA,0.0,UF,1940.0,True,True,False,70300.0,0.0703,True,2016-05,económico
ALPHA_BER207,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.02,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER207,76,SANTA MARIA,0.0,UF,2070.0,True,True,False,74740.0,0.07474,True,2016-05,económico
ALPHA_BER208,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,2.02,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER208,76,SANTA MARIA,0.0,UF,2120.0,True,True,False,74740.0,0.07474,True,2016-05,económico
ALPHA_BER300,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.97,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER300,76,DAVILA,0.0,UF,1350.0,True,True,False,35890.0,0.03589,False,2016-05,económico
ALPHA_BER301,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.02,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER301,76,DAVILA,0.0,UF,1400.0,True,True,False,37740.0,0.03774,False,2016-05,económico
ALPHA_BER302,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,1.14,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER302,76,DAVILA,0.0,UF,1520.0,True,True,False,42180.0,0.04218,False,2016-05,económico
ALPHA_BER400,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.75,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER400,76,PROFESOR,0.0,UF,1220.0,True,True,False,27750.0,0.02775,False,2016-05,económico
ALPHA_BER401,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.76,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER401,76,PROFESOR,0.0,UF,1280.0,True,True,False,28120.0,0.02812,False,2016-05,económico
ALPHA_BER402,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.78,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER402,76,PROFESOR,0.0,UF,1310.0,True,True,False,28860.0,0.02886,False,2016-05,económico
ALPHA_BER403,PRESTADOR PREFERENTE,GRUPAL,COBERTURA GENERAL PARA PARTO U HONORARIOS MÉDICOS,2345,No Comercializado,0.89,NO TIENE COPAGO FIJO,UF,SIN GRUPO,OTRO GRUPO OBJETIVO NO ESPECIFICADO,Nacional,2016-05-01,2020-07-01,BER403,76,PROFESOR,0.0,UF,1330.0,True,True,False,32930.0,0.03293,False,2016-05,económico
